alignment,beat,contributory_cause,device_condition,dooring,dow,first_crash_type,hit_and_run,hour,injuries_fatal,injuries_incapacitating,injuries_no_indication,injuries_non_incapacitating,injuries_reported_not_evident,intersection_related,lane_count,latitude,lighting_condition,longitude,month,most_severe_injury,num_units,posted_speed_limit,road_defect,roadway_surface_cond,street,traffic_control_device,trafficway_type,weather_condition,work_zone,year,i
straight_and_level,1522,unable_to_determine,no_controls,0,2,rear_end,0,7,0,0,4,0,0,0,2,41.880137457,daylight,-87.764777029,1,no_indication_of_injury,2,30,no_defects,dry,W MADISON ST,no_controls,divided_-_w/median_(not_raised),clear,0,2016,15516
straight_and_level,1012,unable_to_determine,no_controls,0,3,parked_motor_vehicle,1,10,0,0,1,0,0,0,4,41.855334477,daylight,-87.725003639,1,no_indication_of_injury,2,30,unknown,snow_or_slush,S PULASKI RD,no_controls,not_divided,clear,0,2016,12584
straight_and_level,321,unable_to_determine,no_controls,0,6,rear_end,0,12,0,0,2,0,0,0,2,41.770382212,daylight,-87.605852074,1,no_indication_of_injury,2,30,no_defects,dry,S COTTAGE GROVE AVE,no_controls,not_divided,clear,0,2016,5617
straight_and_level,1834,improper_lane_usage,functioning_properly,0,0,sideswipe_same_direction,0,0,0,0,2,0,0,1,3,41.891958186,"darkness,_lighted_road",-87.617571296,1,no_indication_of_injury,2,30,no_defects,unknown,E GRAND AVE,traffic_signal,one-way,unknown,0,2016,6274
straight_and_level,1834,unable_to_determine,other,0,5,parked_motor_vehicle,1,13,0,0,1,0,0,0,2,41.890001335,dawn,-87.621438688,1,no_indication_of_injury,2,30,no_defects,dry,N CITY FRONT PLAZA DR,other,divided_-_w/median_barrier,cloudy/overcast,0,2016,23209
straight_and_level,1232,"operating_vehicle_in_erratic,_reckless,_careless,_negligent_or_aggressive_manner",no_controls,0,3,sideswipe_same_direction,0,10,0,0,4,0,0,0,2,41.881472405,daylight,-87.65071023,1,no_indication_of_injury,2,30,no_defects,dry,S SANGAMON ST,no_controls,divided_-_w/median_(not_raised),clear,0,2016,12855
straight_and_level,1822,"vision_obscured_(signs,_tree_limbs,_buildings,_etc.)",no_controls,0,1,angle,0,8,0,0,4,0,0,0,2,41.906847673,daylight,-87.649249971,1,no_indication_of_injury,3,0,no_defects,dry,N DAYTON ST,no_controls,not_divided,clear,0,2016,14279
straight_and_level,1024,unable_to_determine,no_controls,0,5,parked_motor_vehicle,1,11,0,0,1,0,0,0,3,41.853714589,darkness,-87.707889161,1,no_indication_of_injury,2,30,unknown,snow_or_slush,S SPAULDING AVE,no_controls,one-way,snow,0,2016,19753
straight_and_level,1811,unable_to_determine,no_controls,0,6,sideswipe_same_direction,0,18,0,0,2,0,0,0,2,41.919321688,"darkness,_lighted_road",-87.653556222,1,no_indication_of_injury,2,30,no_defects,dry,N SHEFFIELD AVE,no_controls,not_divided,clear,0,2016,24581
straight_and_level,111,unable_to_determine,no_controls,0,3,parked_motor_vehicle,1,11,0,0,1,0,0,0,2,41.883322199,daylight,-87.629775097,1,no_indication_of_injury,2,30,no_defects,dry,W WASHINGTON ST,no_controls,one-way,clear,0,2016,7703
straight_and_level,1033,unable_to_determine,no_controls,0,0,parked_motor_vehicle,1,2,0,0,1,0,0,0,2,41.846185065,"darkness,_lighted_road",-87.705237484,1,no_indication_of_injury,2,30,no_defects,dry,S KEDZIE AVE,no_controls,not_divided,clear,0,2016,17819
straight_and_level,2512,distraction_-_from_inside_vehicle,no_controls,0,4,angle,0,14,0,0,2,0,0,0,2,41.923485071,daylight,-87.795691883,1,no_indication_of_injury,2,30,no_defects,dry,W GRAND AVE,no_controls,parking_lot,clear,0,2016,2862
straight_and_level,1011,failing_to_yield_right-of-way,no_controls,0,4,turning,0,19,0,0,2,0,0,0,2,41.866014524,"darkness,_lighted_road",-87.728497732,1,no_indication_of_injury,3,30,no_defects,wet,W ROOSEVELT RD,no_controls,divided_-_w/median_(not_raised),fog/smoke/haze,0,2016,9954
straight_and_level,1233,improper_backing,functioning_properly,0,4,rear_end,0,8,0,0,2,0,0,0,2,41.858849856,daylight,-87.663905517,1,no_indication_of_injury,2,30,no_defects,dry,W 17TH ST,stop_sign/flasher,divided_-_w/median_(not_raised),clear,0,2016,17749
straight_and_level,1111,improper_overtaking/passing,no_controls,0,2,sideswipe_same_direction,0,7,0,0,2,0,0,0,4,41.895170169,daylight,-87.730766687,1,no_indication_of_injury,2,30,no_defects,dry,W CHICAGO AVE,no_controls,not_divided,clear,0,2016,10341
straight_and_level,821,failing_to_reduce_speed_to_avoid_crash,functioning_improperly,0,5,rear_end,1,18,0,0,2,0,0,0,4,41.80618456,daylight,-87.704066201,1,no_indication_of_injury,2,30,no_defects,dry,S KEDZIE AVE,traffic_signal,divided_-_w/median_(not_raised),clear,0,2016,270
straight_and_level,614,unable_to_determine,no_controls,0,3,parked_motor_vehicle,1,13,0,0,1,0,0,0,2,41.740677535,daylight,-87.6739778,1,no_indication_of_injury,2,30,no_defects,dry,S SEELEY AVE,no_controls,not_divided,clear,0,2016,12305
straight_and_level,132,unable_to_determine,no_controls,0,5,parked_motor_vehicle,1,22,0,0,1,0,0,0,1,41.85110748,"darkness,_lighted_road",-87.612866633,1,no_indication_of_injury,2,15,no_defects,dry,S LAKE SHORE DR E,no_controls,parking_lot,clear,0,2016,33
straight_and_level,821,unable_to_determine,functioning_properly,0,3,rear_end,0,6,0,0,2,0,0,0,4,41.802231472,daylight,-87.72327483,1,no_indication_of_injury,2,20,no_defects,snow_or_slush,S PULASKI RD,traffic_signal,divided_-_w/median_(not_raised),snow,0,2016,17848
straight_and_level,1224,driving_skills/knowledge/experience,no_controls,0,2,parked_motor_vehicle,1,12,0,0,1,0,0,0,1,41.885379357,daylight,-87.657749409,1,no_indication_of_injury,2,30,no_defects,dry,W LAKE ST,no_controls,not_divided,clear,0,2016,8284
straight_and_level,1811,unable_to_determine,functioning_properly,0,6,rear_end,0,12,0,0,3,0,0,0,4,41.918614529,daylight,-87.660453217,1,no_indication_of_injury,3,30,no_defects,dry,N CLYBOURN AVE,traffic_signal,not_divided,clear,0,2016,3442
straight_and_level,925,improper_turning/no_signal,functioning_properly,0,4,turning,1,15,0,0,2,0,0,0,2,41.823332415,daylight,-87.650932713,1,no_indication_of_injury,2,30,no_defects,dry,S MORGAN ST,traffic_signal,not_divided,cloudy/overcast,0,2016,625
straight_and_level,831,unable_to_determine,functioning_properly,0,4,angle,0,17,0,0,2,0,0,1,2,41.764465908,"darkness,_lighted_road",-87.691947961,1,no_indication_of_injury,2,30,unknown,unknown,S FAIRFIELD AVE,stop_sign/flasher,not_divided,clear,0,2016,21731
straight_and_level,924,following_too_closely,functioning_properly,0,3,rear_end,0,16,0,0,6,0,0,0,2,41.823027657,"darkness,_lighted_road",-87.665744031,1,no_indication_of_injury,2,30,no_defects,dry,S ASHLAND AVE,traffic_signal,divided_-_w/median_(not_raised),clear,0,2016,4678
straight_and_level,1433,improper_lane_usage,functioning_properly,0,1,turning,0,12,0,0,2,0,0,1,2,41.903469798,daylight,-87.6585224,1,no_indication_of_injury,2,30,no_defects,snow_or_slush,N ELSTON AVE,traffic_signal,not_divided,snow,0,2016,14575
straight_and_level,1222,following_too_closely,functioning_properly,0,1,rear_end,0,18,0,0,2,0,0,1,2,41.884357094,"darkness,_lighted_road",-87.696322196,1,no_indication_of_injury,2,30,no_defects,wet,W LAKE ST,traffic_signal,divided_-_w/median_(not_raised),rain,0,2016,21308
straight_and_level,1532,unable_to_determine,no_controls,0,1,parked_motor_vehicle,1,11,0,0,1,0,0,0,2,41.881843994,daylight,-87.751637511,1,no_indication_of_injury,2,30,no_defects,dry,W WASHINGTON BLVD,no_controls,divided_-_w/median_(not_raised),clear,0,2016,5215
straight_and_level,414,unable_to_determine,no_controls,0,6,rear_end,0,13,0,0,3,0,1,0,1,41.752916835,daylight,-87.582267966,1,"reported,_not_evident",2,30,"rut,_holes",dry,S RIDGELAND AVE,no_controls,one-way,clear,0,2016,5133
straight_and_level,2422,following_too_closely,no_controls,0,3,rear_end,0,12,0,0,2,0,0,0,4,42.021155135,daylight,-87.666743715,1,no_indication_of_injury,2,30,unknown,dry,N SHERIDAN RD,no_controls,divided_-_w/median_(not_raised),clear,0,2016,10376
straight_and_level,1824,unable_to_determine,functioning_properly,0,5,sideswipe_same_direction,0,1,0,0,2,0,0,0,2,41.904032147,darkness,-87.630061186,1,no_indication_of_injury,2,30,no_defects,dry,W DIVISION ST,traffic_signal,not_divided,clear,0,2016,15527
